date,statement_id,true_hawk,ai_promptA,ai_promptB,ai_promptC,yield_change
2014-01-02,DOC_0000,-0.8212,-0.4701,-1.0988,-0.5707,-8.16
2014-01-06,DOC_0001,0.7173,0.7417,0.4294,0.4716,3.33
2014-01-08,DOC_0002,1.0,1.1983,0.8834,0.9794,2.46
2014-01-10,DOC_0003,0.6739,0.6718,0.6759,0.8383,3.6
2014-01-14,DOC_0004,0.3844,0.4456,0.3914,0.3527,-2.97
2014-01-16,DOC_0005,0.8258,0.6788,0.972,0.5625,2.9
2014-01-20,DOC_0006,-0.491,-0.1064,-0.8071,-0.1473,-2.61
2014-01-22,DOC_0007,-1.0,-0.4711,-1.3449,-1.0078,-7.01
2014-01-24,DOC_0008,-1.0,-0.4805,-1.1849,-0.9673,-3.06
2014-01-28,DOC_0009,-0.7463,-0.4662,-0.9874,-0.656,-6.75
2014-01-30,DOC_0010,-0.1076,-0.1409,-0.3304,-0.1097,-1.55
2014-02-03,DOC_0011,-0.1951,-0.1258,-0.7763,-0.2391,0.05
2014-02-05,DOC_0012,0.2978,0.4847,0.0763,0.2753,-0.67
2014-02-07,DOC_0013,0.575,0.8381,0.6653,0.5772,-2.09
2014-02-11,DOC_0014,0.4004,0.2197,0.0589,0.5206,-2.2
2014-02-13,DOC_0015,0.5351,0.5205,0.7708,0.3237,3.65
2014-02-17,DOC_0016,0.4243,0.4917,0.3999,0.3862,3.78
2014-02-19,DOC_0017,-0.0522,0.1815,0.0863,0.049,2.1
2014-02-21,DOC_0018,-0.5283,0.0437,-0.8715,-0.143,-5.45
2014-02-25,DOC_0019,-0.6367,-0.2958,-0.989,-0.2759,-1.66
2014-02-27,DOC_0020,-0.0413,0.182,-0.2088,0.0501,-2.17
2014-03-03,DOC_0021,-0.3137,-0.0892,-0.6927,-0.4299,-0.52
2014-03-05,DOC_0022,-0.1091,-0.2891,-0.3939,0.0218,8.51
2014-03-07,DOC_0023,-0.2964,-0.2767,-0.5389,-0.1083,0.82
2014-03-11,DOC_0024,0.1368,0.3247,-0.0521,0.4225,-6.19
2014-03-13,DOC_0025,0.3543,0.6066,0.2987,0.1437,2.59
2014-03-17,DOC_0026,0.3648,0.425,0.6248,0.4487,1.07
2014-03-19,DOC_0027,0.4809,0.6668,0.5691,0.2455,4.62
2014-03-21,DOC_0028,0.8858,1.2561,0.6689,0.6296,0.93
2014-03-25,DOC_0029,0.7287,0.699,1.0271,1.0406,2.29
2014-03-27,DOC_0030,0.4605,0.7405,0.5554,0.6615,0.5
2014-03-31,DOC_0031,0.8603,1.1784,0.8885,0.7371,5.56
2014-04-02,DOC_0032,0.3346,0.4331,0.1877,0.2385,4.43
2014-04-04,DOC_0033,0.8552,0.804,0.9595,0.4993,8.95
2014-04-08,DOC_0034,0.4869,0.5881,0.309,0.7663,3.32
2014-04-10,DOC_0035,0.8138,1.2257,0.6909,0.5866,1.59
2014-04-14,DOC_0036,-0.0259,0.3665,-0.0807,0.1266,4.52
2014-04-16,DOC_0037,0.1429,0.6397,0.0296,0.1029,-0.71
2014-04-18,DOC_0038,0.0615,0.1853,-0.119,0.0069,0.99
2014-04-22,DOC_0039,-0.043,-0.0058,-0.4486,0.0324,0.34
